name,passmark,rank,value,price
AMD Athlon 5150 APU,2103,1574,13.15,159.95
AMD Athlon 5200 Dual-Core,1248,1998,20.99,59.48
AMD Athlon 5350 APU,2605,1378,7.70,338.46
AMD Athlon 5370 APU,2901,1286,45.54,63.7
AMD Athlon 64 2000+,116,2804,NA,
AMD Athlon 64 2200+,575,2362,NA,
AMD Athlon 64 2600+,374,2545,NA,
AMD Athlon 64 2800+,438,2473,4.38,99.99
AMD Athlon 64 3000+,463,2443,11.59,39.99
AMD Athlon 64 3200+,492,2411,3.28,149.95
AMD Athlon 64 3300+,576,2361,NA,
AMD Athlon 64 3400+,545,2374,NA,
AMD Athlon 64 3500+,539,2380,4.96,108.95
AMD Athlon 64 3600+,601,2348,NA,
AMD Athlon 64 3700+,600,2349,8.70,69.0
AMD Athlon 64 3800+,589,2352,3.27,179.95
AMD Athlon 64 4000+,608,2342,11.90,51.14
AMD Athlon 64 FX-25,794,2256,NA,
AMD Athlon 64 FX-34,380,2536,NA,
AMD Athlon 64 FX-51,437,2474,NA,
AMD Athlon 64 FX-53,646,2323,21.57,29.99
AMD Athlon 64 FX-55,721,2288,4.01,179.95
AMD Athlon 64 FX-57,730,2283,NA,
AMD Athlon 64 FX-59,715,2291,NA,
AMD Athlon 64 FX-60 Dual Core,1282,1976,NA,
AMD Athlon 64 FX-62 Dual Core,1573,1835,NA,
AMD Athlon 64 FX-72,1794,1714,NA,
AMD Athlon 64 FX-74,1495,1871,2.99,499.5
AMD Athlon 64 X2 3800+,958,2170,NA,
AMD Athlon 64 X2 4200+,1285,1972,4.16,308.95
AMD Athlon 64 X2 Dual Core 3400+,994,2142,NA,
AMD Athlon 64 X2 Dual Core 3600+,967,2161,16.13,60.0
AMD Athlon 64 X2 Dual Core 3800+,1000,2135,NA,
AMD Athlon 64 X2 Dual Core 4000+,1040,2112,NA,
AMD Athlon 64 X2 Dual Core 4200+,1097,2077,8.44,129.95
AMD Athlon 64 X2 Dual Core 4400+,1146,2056,19.11,60.0
AMD Athlon 64 X2 Dual Core 4600+,1220,2011,3.39,359.95
